orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 35,0.2420271606510889,2.201790673086857,2.536220990945153,313.31138857470336,18.9890476966372,301.072248578796,0.3016754938497387,2458795.8348966767,0.657747,2.6318099999999998,MBA,Otto Matic,46399.0,2611,0.46221999999999996,9.3,0.2082,0.8,1892,10,2019,10
JPL 25,0.25685629105234803,2.338209397513332,22.326588571238126,10.489601745170287,105.11559351815501,87.45444884779863,0.275663313058132,2458283.2490467355,0.875501,2.3935400000000002,MBA,Otto Matic,38117.0,1528,0.38116,9.822,0.314,0.13,1915,4,2019,8
JPL 28,0.1605425929985468,2.2288121797963845,1.7473865182549768,121.5793817365353,252.4654543208411,208.9420163625177,0.2962060094898142,2459110.4760936573,0.871683,2.8731400000000002,MBA,Otto Matic,36040.0,2357,0.4467100000000001,8.196,0.379,0.1,1920,9,2019,5
JPL 35,0.1679447129746925,2.241299364288587,2.428618794471915,161.6368946352739,172.84649126628108,20.35028936701734,0.29373403552801197,2458531.2186539327,0.8540200000000001,2.73703,MBA,Otto Matic,33289.0,2574,0.43691,6.534,0.217,0.068,1928,10,2019,11
JPL 34,0.25329514021320804,2.4675362416764837,6.757106318276705,137.130655582841,259.158792789543,127.3669082037815,0.2542779865128273,2458099.603678024,0.862972,2.37092,MBA,Otto Matic,39907.0,2523,0.44695,9.111,0.256,0.303,1910,2,2019,5
JPL 67,0.07374239675963945,1.944104209303828,22.50883956660048,175.32095464950802,124.03196301018757,224.4458595997103,0.3636007438436845,2458973.3104045317,0.8333430000000001,3.07442,IMB,Otto Matic,44070.0,2492,0.37174,8.934,0.726,0.748,1898,9,2019,5
JPL 34,0.1030660804800268,2.244712465530257,5.995089327414344,203.39943962035,264.3925253605499,244.4569122179913,0.2930643532237158,2458994.758416321,1.04069,2.63462,MBA,Otto Matic,40578.0,2484,0.43573999999999996,9.326,0.221,0.239,1908,10,2019,11
JPL 29,0.1100577253498839,2.230630075581401,5.3898193445134925,72.37304480848806,354.33926681446883,127.0223184677253,0.2958439849181764,2458171.144241752,0.9987809999999999,2.76715,MBA,Otto Matic,41871.0,2440,0.39707,9.01,0.287,0.099,1904,12,2019,8
JPL 29,0.2390921446273711,2.253448530473361,5.680974222189686,336.7649582229657,76.77917437215383,181.32977267065812,0.291361798514197,2459213.7246170924,0.736039,2.60938,MBA,Otto Matic,41608.0,1810,0.4025,8.456,0.298,0.031,1905,9,2019,8
JPL 33,0.3530740692675692,2.628043397838046,32.583941166452824,155.11238296610838,76.77304281341048,169.9227202580813,0.2313424203703695,2457865.99259757,0.9232790000000001,2.15564,MBA,Otto Matic,41518.0,1834,0.4024,9.23,0.3255,0.9,1906,3,2019,11
JPL 36,0.1279570091769852,2.220818623598843,1.710039490091081,41.00561917722482,18.01278497331386,213.7678247620583,0.2978066818788424,2459091.5305380505,0.9486479999999999,2.78381,MBA,Otto Matic,40958.0,2423,0.4343,9.446,0.217,0.166,1907,9,2019,10
JPL 27,0.2133696420786552,2.324422571255468,6.902487414502455,302.8072484050375,38.11099192262538,184.4550896577248,0.27811950509816996,2459231.6851816373,0.8242290000000001,2.58272,MBA,Otto Matic,40785.0,2581,0.41208999999999996,8.153,0.26899999999999996,0.151,1907,9,2019,5
JPL 27,0.1947247732541278,2.441702237136852,7.331118622391004,254.6793398076791,175.69746202094632,32.85417616421896,0.2583241578442813,2458473.3180266283,0.980618,2.37492,MBA,Otto Matic,40786.0,2534,0.41881999999999997,9.725,0.508,0.092,1907,9,2019,5
JPL 34,0.2789832239602233,2.545743517664792,12.71548307586612,357.0197506986029,349.5249554448134,156.468717369293,0.2426510103833687,2457955.6697265883,0.829815,2.1732,MBA,Otto Matic,40783.0,2192,0.42846999999999996,7.726,0.345,0.077,1907,9,2019,5
JPL 31,0.1372607052416253,2.1748374345676043,2.458112342392264,213.75693032789601,174.86864237544108,291.4963448039051,0.3073009298068923,2458823.4204292973,0.8804280000000001,2.95148,MBA,Otto Matic,39864.0,2760,0.43223999999999996,7.25,0.368,0.273,1910,10,2019,11
JPL 34,0.1078693734978548,2.180336509480267,4.273326980878372,281.9035960125519,90.78827317768592,301.12799315898417,0.3061390874516425,2458792.804770133,0.950041,3.02447,MBA,Otto Matic,39787.0,2719,0.41831999999999997,9.003,0.315,0.28300000000000003,1910,12,2019,11
JPL 33,0.1953559306404621,2.237341066445295,6.089727880110254,357.0623788656436,300.1732128919319,359.7910802168003,0.294513890410781,2458601.209371578,0.793425,2.5592900000000003,MBA,Otto Matic,39672.0,2595,0.43891,9.026,0.45299999999999996,0.635,1911,4,2019,11
JPL 30,0.1449329274403013,2.171861596938397,5.6383751740413794,45.681872941102384,257.3563525722217,284.5629350203152,0.3079327317017964,2458845.4790399442,0.851087,2.72304,MBA,Otto Matic,40002.0,2437,0.41849,8.257,0.252,0.073,1910,3,2019,9
JPL 25,0.2507538688942703,2.454324622447523,11.71295325754511,204.2452688672713,205.8741079778201,329.4514487385425,0.2563339130997661,2458719.674832905,0.8547520000000001,2.3500900000000002,MBA,Otto Matic,39483.0,1452,0.50203,9.492,0.10300000000000001,0.198,1911,10,2019,11
JPL 37,0.08815540307133325,2.2535806793307738,4.257320186947582,82.64218501032677,55.099876051558844,249.1098851522604,0.2913361709220739,2458981.1259775325,1.07253,2.56224,MBA,Otto Matic,39366.0,2549,0.44851,5.887,0.16,0.48100000000000004,1912,2,2019,11
JPL 25,0.1666041379325857,2.240171466558802,4.082515165454686,289.82355113665886,89.00852761236727,161.8978897460886,0.2939559004532123,2458049.7442931184,0.8736139999999999,2.86423,MBA,Otto Matic,38579.0,2378,0.41403,7.005,0.322,0.115,1913,9,2019,5
